%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
,	451440 1	$,,*,a0,l0,b0,s0,S0,w1
producing	451442 9	alpha,lo,a0,lN,b1,s0,S0,w1
the	451452 3	stop,lo,a0,l3,b1,s0,S0,w1
wild	451456 4	alpha,lo,a0,l5,b1,s0,S0,w1
song	451461 4	alpha,lo,a0,l5,b1,s0,S0,w1
so	451466 2	stop,lo,a0,l3,b1,s0,S0,w1
perfectly	451469 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	451478 1	$,,*,a0,l0,b0,s0,S0,w1
that	451480 4	stop,lo,a0,l5,b1,s0,S0,w1
if	451485 2	stop,lo,a0,l3,b1,s0,S0,w1
you	451488 3	stop,lo,a0,l3,b1,s0,S0,w1
shut	451492 4	alpha,lo,a0,l5,b1,s0,S0,w1
3'	451497 2	num,*,a0,l1,b1,s0,S0,w1 $',*,a0,l0,b0,s0,S0,w0
our	451499 3	stop,lo,a0,l3,b0,s0,S0,w1
eyes	451503 4	alpha,lo,a0,l5,b1,s0,S0,w1
you	451508 3	stop,lo,a0,l3,b1,s0,S0,w1
could	451512 5	alpha,lo,a0,l5,b1,s0,S0,w1
imagine	451518 7	alpha,lo,a0,lN,b1,s0,S0,w1
his	451526 3	stop,lo,a0,l3,b1,s0,S0,w1
upward	451530 6	alpha,lo,a0,lN,b1,s0,S0,w1
flight	451537 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	451543 1	$,,*,a0,l0,b0,s0,S0,w1
and	451545 3	stop,lo,a0,l3,b1,s0,S0,w1
finally	451549 7	alpha,lo,a0,lN,b1,s0,S0,w1
his	451557 3	stop,lo,a0,l3,b1,s0,S0,w1
dropping	451561 8	alpha,lo,a0,lN,b1,s0,S0,w1
notes	451570 5	alpha,lo,a0,l5,b1,s0,S0,w1
as	451576 2	stop,lo,a0,l3,b1,s0,S0,w1
he	451579 2	stop,lo,a0,l3,b1,s0,S0,w1
i-eturned	451582 9	stop,lo,a0,l1,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
to	451592 2	stop,lo,a0,l3,b1,s0,S0,w1
earth	451595 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	451600 1	$.,*,a0,l0,b0,s0,S1,w1

Towards	451602 7	alpha,up,a0,lN,b1,s1,S0,w1
the	451610 3	stop,lo,a0,l3,b1,s0,S0,w1
end	451614 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	451618 2	stop,lo,a0,l3,b1,s0,S0,w1
1895	451621 4	num,*,a0,l5,b1,s0,S0,w1
he	451626 2	stop,lo,a0,l3,b1,s0,S0,w1
failed	451629 6	alpha,lo,a0,lN,b1,s0,S0,w1
to	451636 2	stop,lo,a0,l3,b1,s0,S0,w1
get	451639 3	alpha,lo,a0,l3,b1,s0,S0,w1
well	451643 4	alpha,lo,a0,l5,b1,s0,S0,w1
through	451648 7	stop,lo,a0,lN,b1,s0,S0,w1
his	451656 3	stop,lo,a0,l3,b1,s0,S0,w1
moult	451660 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	451665 1	$,,*,a0,l0,b0,s0,S0,w1
and	451667 3	stop,lo,a0,l3,b1,s0,S0,w1
one	451671 3	alpha,lo,a0,l3,b1,s0,S0,w1
morning	451675 7	alpha,lo,a0,lN,b1,s0,S0,w1
I	451683 1	stop,cap,a0,l1,b1,s0,S0,w1
found	451685 5	alpha,lo,a0,l5,b1,s0,S0,w1
him	451691 3	stop,lo,a0,l3,b1,s0,S0,w1
dead	451695 4	alpha,lo,a0,l5,b1,s0,S0,w1
with	451700 4	stop,lo,a0,l5,b1,s0,S0,w1
his	451705 3	stop,lo,a0,l3,b1,s0,S0,w1
head	451709 4	alpha,lo,a0,l5,b1,s0,S0,w1
under	451714 5	stop,lo,a0,l5,b1,s0,S0,w1
his	451720 3	stop,lo,a0,l3,b1,s0,S0,w1
wing	451724 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	451728 1	$.,*,a0,l0,b0,s0,S1,w1

Mr.	451731 3	alpha,up,a0,l3,b1,s1,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
Seebohm	451735 7	alpha,up,a0,lN,b1,s0,S0,w1
's	451742 2	$',*,a0,l0,b0,s0,S0,w1 stop,lo,a0,l1,b0,s0,S0,w0
account	451745 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	451753 2	stop,lo,a0,l3,b1,s0,S0,w1
the	451756 3	stop,lo,a0,l3,b1,s0,S0,w1
migration	451760 9	alpha,lo,a0,lN,b1,s0,S0,w1
of	451770 2	stop,lo,a0,l3,b1,s0,S0,w1
Sky-Larks	451773 9	alpha,up,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,l5,b0,s0,S0,w0
as	451783 2	stop,lo,a0,l3,b1,s0,S0,w1
observed	451786 8	alpha,lo,a0,lN,b1,s0,S0,w1
by	451795 2	stop,lo,a0,l3,b1,s0,S0,w1
him	451798 3	stop,lo,a0,l3,b1,s0,S0,w1
in	451802 2	stop,lo,a0,l3,b1,s0,S0,w1
Heligoland	451805 10	alpha,up,a0,lN,b1,s0,S0,w1
is	451816 2	stop,lo,a0,l3,b1,s0,S0,w1
exceedingly	451819 11	alpha,lo,a0,lN,b1,s0,S0,w1
interesting	451831 11	alpha,lo,a0,lN,b1,s0,S0,w1
;	451843 1	stop,cap,a0,l3,b1,s0,S0,w1
but	451845 3	stop,lo,a0,l3,b1,s0,S0,w1
unfortunately	451849 13	alpha,lo,a0,lN,b1,s0,S0,w1
I	451863 1	stop,cap,a0,l1,b1,s0,S0,w1
have	451865 4	stop,lo,a0,l5,b1,s0,S0,w1
not	451870 3	stop,lo,a0,l3,b1,s0,S0,w1
space	451874 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	451880 2	stop,lo,a0,l3,b1,s0,S0,w1
quote	451883 5	alpha,lo,a0,l5,b1,s0,S0,w1
it	451889 2	stop,lo,a0,l3,b1,s0,S0,w1
here	451892 4	stop,lo,a0,l5,b1,s0,S0,w1
.	451896 1	$.,*,a0,l0,b0,s0,S1,w1

Speaking	451898 8	alpha,up,a0,lN,b1,s1,S0,w1
of	451907 2	stop,lo,a0,l3,b1,s0,S0,w1
the	451910 3	stop,lo,a0,l3,b1,s0,S0,w1
complaints	451914 10	alpha,lo,a0,lN,b1,s0,S0,w1
respecting	451925 10	alpha,lo,a0,lN,b1,s0,S0,w1
the	451936 3	stop,lo,a0,l3,b1,s0,S0,w1
diminution	451940 10	alpha,lo,a0,lN,b1,s0,S0,w1
of	451951 2	stop,lo,a0,l3,b1,s0,S0,w1
birds	451954 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	451959 1	$,,*,a0,l0,b0,s0,S0,w1
Herr	451961 4	alpha,up,a0,l5,b1,s0,S0,w1
Gatke	451966 5	alpha,up,a0,l5,b1,s0,S0,w1
saj	451972 3	alpha,lo,a0,l3,b1,s0,S0,w1
'S	451975 2	$',*,a0,l0,b0,s0,S0,w1 stop,cap,a0,l1,b0,s0,S0,w0
:	451978 1	$:,*,a0,l0,b1,s1,S0,w1
-	451980 1	$-,*,a0,l0,b1,s0,S0,w1
"	451982 1	$",*,a0,l0,b1,s0,S0,w1
To	451984 2	stop,up,a0,l3,b1,s1,S0,w1
a	451987 1	stop,lo,a0,l1,b1,s0,S0,w1
witness	451989 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	451996 1	$,,*,a0,l0,b0,s0,S0,w1
however	451998 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	452005 1	$,,*,a0,l0,b0,s0,S0,w1
of	452007 2	stop,lo,a0,l3,b1,s0,S0,w1
the	452010 3	stop,lo,a0,l3,b1,s0,S0,w1
enormous	452014 8	alpha,lo,a0,lN,b1,s0,S0,w1
passage	452023 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	452031 2	stop,lo,a0,l3,b1,s0,S0,w1
migrants	452034 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	452042 1	$,,*,a0,l0,b0,s0,S0,w1
of	452044 2	stop,lo,a0,l3,b1,s0,S0,w1
the	452047 3	stop,lo,a0,l3,b1,s0,S0,w1
myriads	452051 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	452059 2	stop,lo,a0,l3,b1,s0,S0,w1
individuals	452062 11	alpha,lo,a0,lN,b1,s0,S0,w1
which	452074 5	stop,lo,a0,l5,b1,s0,S0,w1
on	452080 2	stop,lo,a0,l3,b1,s0,S0,w1
autumn	452083 6	alpha,lo,a0,lN,b1,s0,S0,w1
nights	452090 6	alpha,lo,a0,lN,b1,s0,S0,w1
travel	452097 6	alpha,lo,a0,lN,b1,s0,S0,w1
past	452104 4	alpha,lo,a0,l5,b1,s0,S0,w1
this	452109 4	stop,lo,a0,l5,b1,s0,S0,w1
island	452114 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	452120 1	$,,*,a0,l0,b0,s0,S0,w1
like	452122 4	alpha,lo,a0,l5,b1,s0,S0,w1
the	452127 3	stop,lo,a0,l3,b1,s0,S0,w1
flakes	452131 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	452138 2	stop,lo,a0,l3,b1,s0,S0,w1
a	452141 1	stop,lo,a0,l1,b1,s0,S0,w1
snow-storm	452143 10	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	452153 1	$,,*,a0,l0,b0,s0,S0,w1
not	452155 3	stop,lo,a0,l3,b1,s0,S0,w1
only	452159 4	stop,lo,a0,l5,b1,s0,S0,w1
within	452164 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	452171 3	stop,lo,a0,l3,b1,s0,S0,w1
area	452175 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	452180 2	stop,lo,a0,l3,b1,s0,S0,w1
the	452183 3	stop,lo,a0,l3,b1,s0,S0,w1
lighthouse	452187 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	452197 1	$,,*,a0,l0,b0,s0,S0,w1
but	452199 3	stop,lo,a0,l3,b1,s0,S0,w1
for	452203 3	stop,lo,a0,l3,b1,s0,S0,w1
miles	452207 5	alpha,lo,a0,l5,b1,s0,S0,w1
north	452213 5	alpha,lo,a0,l5,b1,s0,S0,w1
and	452219 3	stop,lo,a0,l3,b1,s0,S0,w1
south	452223 5	alpha,lo,a0,l5,b1,s0,S0,w1
out	452229 3	stop,lo,a0,l3,b1,s0,S0,w1
to	452233 2	stop,lo,a0,l3,b1,s0,S0,w1
sea	452236 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	452239 1	$,,*,a0,l0,b0,s0,S0,w1
these	452241 5	stop,lo,a0,l5,b1,s0,S0,w1
complaints	452247 10	alpha,lo,a0,lN,b1,s0,S0,w1
seem	452258 4	alpha,lo,a0,l5,b1,s0,S0,w1
quite	452263 5	alpha,lo,a0,l5,b1,s0,S0,w1
incomprehensible	452269 16	alpha,lo,a0,lN,b1,s0,S0,w1
.	452285 1	$.,*,a0,l0,b0,s0,S1,w1

It	452287 2	stop,up,a0,l3,b1,s1,S0,w1
is	452290 2	stop,lo,a0,l3,b1,s0,S0,w1
surely	452293 6	alpha,lo,a0,lN,b1,s0,S0,w1
impossible	452300 10	alpha,lo,a0,lN,b1,s0,S0,w1
that	452311 4	stop,lo,a0,l5,b1,s0,S0,w1
the	452316 3	stop,lo,a0,l3,b1,s0,S0,w1
hand	452320 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	452325 2	stop,lo,a0,l3,b1,s0,S0,w1
man	452328 3	alpha,lo,a0,l3,b1,s0,S0,w1
can	452332 3	stop,lo,a0,l3,b1,s0,S0,w1
exercise	452336 8	alpha,lo,a0,lN,b1,s0,S0,w1
any	452345 3	stop,lo,a0,l3,b1,s0,S0,w1
perceptible	452349 11	alpha,lo,a0,lN,b1,s0,S0,w1
influence	452361 9	alpha,lo,a0,lN,b1,s0,S0,w1
on	452371 2	stop,lo,a0,l3,b1,s0,S0,w1
such	452374 4	stop,lo,a0,l5,b1,s0,S0,w1
enormous	452379 8	alpha,lo,a0,lN,b1,s0,S0,w1
migration	452388 9	alpha,lo,a0,lN,b1,s0,S0,w1
streams	452398 7	alpha,lo,a0,lN,b1,s0,S0,w1
"	452405 1	$",*,a0,l0,b0,s0,S0,w1
;	452406 1	$;,*,a0,l0,b0,s0,S0,w1
and	452408 3	stop,lo,a0,l3,b1,s0,S0,w1
he	452412 2	stop,lo,a0,l3,b1,s0,S0,w1
adds	452415 4	alpha,lo,a0,l5,b1,s0,S0,w1
that	452420 4	stop,lo,a0,l5,b1,s0,S0,w1
the	452425 3	stop,lo,a0,l3,b1,s0,S0,w1
number	452429 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	452436 2	stop,lo,a0,l3,b1,s0,S0,w1
15,000	452439 6	num,*,a0,l3,b1,s0,S0,w1 $,,*,a0,l0,b0,s0,S0,w0 num,*,a0,l3,b0,s0,S0,w0
Larks	452446 5	alpha,up,a0,l5,b1,s0,S0,w1
caught	452452 6	alpha,lo,a0,lN,b1,s0,S0,w1
in	452459 2	stop,lo,a0,l3,b1,s0,S0,w1
one	452462 3	alpha,lo,a0,l3,b1,s0,S0,w1
autumn	452466 6	alpha,lo,a0,lN,b1,s0,S0,w1
night	452473 5	alpha,lo,a0,l5,b1,s0,S0,w1
does	452479 4	stop,lo,a0,l5,b1,s0,S0,w1
not	452484 3	stop,lo,a0,l3,b1,s0,S0,w1
approximately	452488 13	alpha,lo,a0,lN,b1,s0,S0,w1
express	452502 7	alpha,lo,a0,lN,b1,s0,S0,w1
a	452510 1	stop,lo,a0,l1,b1,s0,S0,w1
proportion	452512 10	alpha,lo,a0,lN,b1,s0,S0,w1
of	452523 2	stop,lo,a0,l3,b1,s0,S0,w1
one	452526 3	alpha,lo,a0,l3,b1,s0,S0,w1
for	452530 3	stop,lo,a0,l3,b1,s0,S0,w1
each	452534 4	stop,lo,a0,l5,b1,s0,S0,w1
10,000	452539 6	num,*,a0,l3,b1,s0,S0,w1 $,,*,a0,l0,b0,s0,S0,w0 num,*,a0,l3,b0,s0,S0,w0
individuals	452546 11	alpha,lo,a0,lN,b1,s0,S0,w1
of	452558 2	stop,lo,a0,l3,b1,s0,S0,w1
such	452561 4	stop,lo,a0,l5,b1,s0,S0,w1
a	452566 1	stop,lo,a0,l1,b1,s0,S0,w1
migrant	452568 7	alpha,lo,a0,lN,b1,s0,S0,w1
stream	452576 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	452582 1	$.,*,a0,l0,b0,s0,S1,w1

The	452585 3	stop,up,a0,l3,b1,s1,S0,w1
figures	452589 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	452597 2	stop,lo,a0,l3,b1,s0,S0,w1
eggs	452600 4	alpha,lo,a0,l5,b1,s0,S0,w1
245-8	452605 5	num,*,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 num,*,a0,l1,b0,s0,S0,w0
are	452611 3	stop,lo,a0,l3,b1,s0,S0,w1
from	452615 4	stop,lo,a0,l5,b1,s0,S0,w1
Mr.	452620 3	alpha,up,a0,l3,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
A.	452624 2	stop,cap,a0,l1,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
B.	452627 2	alpha,cap,a0,l1,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
Farn	452630 4	alpha,up,a0,l5,b1,s0,S0,w1
's	452634 2	$',*,a0,l0,b0,s0,S0,w1 stop,lo,a0,l1,b0,s0,S0,w0
collection	452637 10	alpha,lo,a0,lN,b1,s0,S0,w1
;	452648 1	stop,lo,a0,l3,b1,s0,S0,w1
249	452650 3	num,*,a0,l3,b1,s0,S0,w1
from	452654 4	stop,lo,a0,l5,b1,s0,S0,w1
Mr.	452659 3	alpha,up,a0,l3,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
Frohawk	452663 7	alpha,up,a0,lN,b1,s0,S0,w1
's	452670 2	$',*,a0,l0,b0,s0,S0,w1 stop,lo,a0,l1,b0,s0,S0,w0
,	452672 1	$,,*,a0,l0,b0,s0,S0,w1
and	452674 3	stop,lo,a0,l3,b1,s0,S0,w1
250-4	452678 5	num,*,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 num,*,a0,l1,b0,s0,S0,w0
from	452684 4	stop,lo,a0,l5,b1,s0,S0,w1
the	452689 3	stop,lo,a0,l3,b1,s0,S0,w1
author	452693 6	alpha,lo,a0,lN,b1,s0,S0,w1
's	452699 2	$',*,a0,l0,b0,s0,S0,w1 stop,lo,a0,l1,b0,s0,S0,w0
series	452702 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	452708 1	$.,*,a0,l0,b0,s0,S1,w1

Family	452710 6	alpha,up,a0,lN,b1,s1,S0,w1
^	452716 1	$~,*,a0,l0,b0,s0,S0,w1
ALA	452718 3	alpha,cap,a0,l3,b1,s1,S0,w1
UDID	452722 4	alpha,cap,a0,l5,b1,s0,S0,w1
.	452726 1	$.,*,a0,l0,b0,s0,S0,w1
F	452728 1	alpha,cap,a0,l1,b1,s0,S0,w1
.	452729 1	$.,*,a0,l0,b0,s0,S1,w1

The	452732 3	stop,up,a0,l3,b1,s1,S0,w1
Wood-Lark	452736 9	alpha,up,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,l5,b0,s0,S0,w0
.	452745 1	$.,*,a0,l0,b0,s0,S1,w1

Alaitdn	452748 7	alpha,up,a0,lN,b1,s1,S0,w1
ar/iorca	452756 8	alpha,lo,a0,l3,b1,s0,S0,w1 $/,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	452764 1	$,,*,a0,l0,b0,s0,S0,w1
LlNN	452766 4	alpha,up,a0,l5,b1,s0,S0,w1
.	452770 1	$.,*,a0,l0,b0,s0,S1,w1

"	452773 1	$",*,a0,l0,b1,s1,S0,w1
T	452775 1	stop,cap,a0,l1,b1,s0,S0,w1
N	452777 1	alpha,cap,a0,l1,b1,s0,S0,w1
summer	452779 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	452786 3	stop,lo,a0,l3,b1,s0,S0,w1
Wood-Lark	452790 9	alpha,up,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,l5,b0,s0,S0,w0
inhabits	452800 8	alpha,lo,a0,lN,b1,s0,S0,w1
the	452809 3	stop,lo,a0,l3,b1,s0,S0,w1
southern	452813 8	alpha,lo,a0,lN,b1,s0,S0,w1
portions	452822 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	452831 2	stop,lo,a0,l3,b1,s0,S0,w1
Scandinavia	452834 11	alpha,up,a0,lN,b1,s0,S0,w1
,	452845 1	$,,*,a0,l0,b0,s0,S0,w1
and	452847 3	stop,lo,a0,l3,b1,s0,S0,w1
I	452851 1	stop,cap,a0,l1,b1,s0,S0,w1
Russia	452853 6	alpha,up,a0,lN,b1,s0,S0,w1
below	452860 5	stop,lo,a0,l5,b1,s0,S0,w1
about	452866 5	stop,lo,a0,l5,b1,s0,S0,w1
60	452872 2	num,*,a0,l3,b1,s0,S0,w1
Â°	452874 4	alpha,cap,a0,l3,b0,s0,S0,w1 $~,*,a0,l0,b0,s0,S0,w0
N.	452879 2	alpha,cap,a0,l1,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
lat.	452882 4	alpha,lo,a0,l3,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
,	452886 1	$,,*,a0,l0,b0,s0,S0,w1
as	452888 2	stop,lo,a0,l3,b1,s0,S0,w1
far	452891 3	alpha,lo,a0,l3,b1,s0,S0,w1
east	452895 4	alpha,lo,a0,l5,b1,s0,S0,w1
as	452900 2	stop,lo,a0,l3,b1,s0,S0,w1
the	452903 3	stop,lo,a0,l3,b1,s0,S0,w1
Ural	452907 4	alpha,up,a0,l5,b1,s0,S0,w1
Mountains	452912 9	alpha,up,a0,lN,b1,s0,S0,w1
,	452921 1	$,,*,a0,l0,b0,s0,S0,w1
while	452923 5	stop,lo,a0,l5,b1,s0,S0,w1
in	452929 2	stop,lo,a0,l3,b1,s0,S0,w1
Northern	452932 8	alpha,up,a0,lN,b1,s0,S0,w1
Germany	452941 7	alpha,up,a0,lN,b1,s0,S0,w1
it	452949 2	stop,lo,a0,l3,b1,s0,S0,w1
is	452952 2	stop,lo,a0,l3,b1,s0,S0,w1
common	452955 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	452961 1	$.,*,a0,l0,b0,s0,S1,w1

Southward	452963 9	alpha,up,a0,lN,b1,s1,S0,w1
,	452972 1	$,,*,a0,l0,b0,s0,S0,w1
it	452974 2	stop,lo,a0,l3,b1,s0,S0,w1
is	452977 2	stop,lo,a0,l3,b1,s0,S0,w1
found	452980 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	452986 2	stop,lo,a0,l3,b1,s0,S0,w1
places	452989 6	alpha,lo,a0,lN,b1,s0,S0,w1
suited	452996 6	alpha,lo,a0,lN,b1,s0,S0,w1
to	453003 2	stop,lo,a0,l3,b1,s0,S0,w1
its	453006 3	stop,lo,a0,l3,b1,s0,S0,w1
habits	453010 6	alpha,lo,a0,lN,b1,s0,S0,w1
-	453017 1	$-,*,a0,l0,b1,s0,S0,w1
especially	453019 10	alpha,lo,a0,lN,b1,s0,S0,w1
in	453030 2	stop,lo,a0,l3,b1,s0,S0,w1
Central	453033 7	alpha,up,a0,lN,b1,s0,S0,w1
France	453041 6	alpha,up,a0,lN,b1,s0,S0,w1
-	453048 1	$-,*,a0,l0,b1,s0,S0,w1
down	453050 4	stop,lo,a0,l5,b1,s0,S0,w1
to	453055 2	stop,lo,a0,l3,b1,s0,S0,w1
the	453058 3	stop,lo,a0,l3,b1,s0,S0,w1
Mediterranean	453062 13	alpha,up,a0,lN,b1,s0,S0,w1
,	453075 1	$,,*,a0,l0,b0,s0,S0,w1
Black	453077 5	alpha,up,a0,l5,b1,s0,S0,w1
and	453083 3	stop,lo,a0,l3,b1,s0,S0,w1
Caspian	453087 7	alpha,up,a0,lN,b1,s0,S0,w1
Seas	453095 4	alpha,up,a0,l5,b1,s0,S1,w1

;	453100 1	stop,cap,a0,l5,b1,s1,S0,w1
its	453102 3	stop,lo,a0,l3,b1,s0,S0,w1
numbers	453106 7	alpha,lo,a0,lN,b1,s0,S0,w1
being	453114 5	stop,lo,a0,l5,b1,s0,S0,w1
increased	453120 9	alpha,lo,a0,lN,b1,s0,S0,w1
by	453130 2	stop,lo,a0,l3,b1,s0,S0,w1
accessions	453133 10	alpha,lo,a0,lN,b1,s0,S0,w1
from	453144 4	stop,lo,a0,l5,b1,s0,S0,w1
the	453149 3	stop,lo,a0,l3,b1,s0,S0,w1
north	453153 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	453159 2	stop,lo,a0,l3,b1,s0,S0,w1
winter	453162 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	453168 1	$,,*,a0,l0,b0,s0,S0,w1
at	453170 2	stop,lo,a0,l3,b1,s0,S0,w1
which	453173 5	stop,lo,a0,l5,b1,s0,S0,w1
season	453179 6	alpha,lo,a0,lN,b1,s0,S0,w1
it	453186 2	stop,lo,a0,l3,b1,s0,S0,w1
also	453189 4	alpha,lo,a0,l5,b1,s0,S0,w1
visits	453194 6	alpha,lo,a0,lN,b1,s0,S0,w1
Northern	453201 8	alpha,up,a0,lN,b1,s0,S0,w1
Africa	453210 6	alpha,up,a0,lN,b1,s0,S0,w1
and	453217 3	stop,lo,a0,l3,b1,s0,S0,w1
Palestine	453221 9	alpha,up,a0,lN,b1,s0,S0,w1
,	453230 1	$,,*,a0,l0,b0,s0,S0,w1
and	453232 3	stop,lo,a0,l3,b1,s0,S0,w1
in	453236 2	stop,lo,a0,l3,b1,s0,S0,w1
the	453239 3	stop,lo,a0,l3,b1,s0,S0,w1
latter	453243 6	alpha,lo,a0,lN,b1,s0,S0,w1
it	453250 2	stop,lo,a0,l3,b1,s0,S0,w1
is	453253 2	stop,lo,a0,l3,b1,s0,S0,w1
said	453256 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	453261 2	stop,lo,a0,l3,b1,s0,S0,w1
breed	453264 5	alpha,lo,a0,l5,b1,s0,S0,w1
on	453270 2	stop,lo,a0,l3,b1,s0,S0,w1
the	453273 3	stop,lo,a0,l3,b1,s0,S0,w1
high	453277 4	alpha,lo,a0,l5,b1,s0,S0,w1
ground	453282 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	453288 1	$.,*,a0,l0,b0,s0,S1,w1

"	453290 1	$",*,a0,l0,b1,s1,S0,w1
^	453291 1	$~,*,a0,l0,b0,s0,S0,w1
-	453293 1	$-,*,a0,l0,b1,s0,S0,w1
Iloivard	453295 8	alpha,up,a0,lN,b1,s0,S0,w1
Saunders	453304 8	alpha,up,a0,lN,b1,s0,S0,w1
.	453312 1	$.,*,a0,l0,b0,s0,S1,w1

In	453315 2	stop,up,a0,l3,b1,s1,S0,w1
Great	453318 5	alpha,up,a0,l5,b1,s0,S0,w1
Britain	453324 7	alpha,up,a0,lN,b1,s0,S0,w1
the	453332 3	stop,lo,a0,l3,b1,s0,S0,w1
Wood-Lark	453336 9	alpha,up,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,l5,b0,s0,S0,w0
is	453346 2	stop,lo,a0,l3,b1,s0,S0,w1
by	453349 2	stop,lo,a0,l3,b1,s0,S0,w1
no	453352 2	stop,lo,a0,l3,b1,s0,S0,w1
means	453355 5	alpha,lo,a0,l5,b1,s0,S0,w1
a	453361 1	stop,lo,a0,l1,b1,s0,S0,w1
common	453363 6	alpha,lo,a0,lN,b1,s0,S0,w1
bird	453370 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	453374 1	$,,*,a0,l0,b0,s0,S0,w1
and	453376 3	stop,lo,a0,l3,b1,s0,S0,w1
is	453380 2	stop,lo,a0,l3,b1,s0,S0,w1
very	453383 4	stop,lo,a0,l5,b1,s0,S0,w1
local	453388 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	453394 2	stop,lo,a0,l3,b1,s0,S0,w1
its	453397 3	stop,lo,a0,l3,b1,s0,S0,w1
distribution	453401 12	alpha,lo,a0,lN,b1,s0,S0,w1
;	453414 1	stop,cap,a0,l3,b1,s0,S0,w1
occurring	453416 9	alpha,lo,a0,lN,b1,s0,S0,w1
chiefly	453426 7	alpha,lo,a0,lN,b1,s0,S0,w1
on	453434 2	stop,lo,a0,l3,b1,s0,S0,w1
undulating	453437 10	alpha,lo,a0,lN,b1,s0,S0,w1
sandy	453448 5	alpha,lo,a0,l5,b1,s0,S0,w1
or	453454 2	stop,lo,a0,l3,b1,s0,S0,w1
chalky	453457 6	alpha,lo,a0,lN,b1,s0,S0,w1
soil	453464 4	alpha,lo,a0,l5,b1,s0,S0,w1
dotted	453469 6	alpha,lo,a0,lN,b1,s0,S0,w1
about	453476 5	stop,lo,a0,l5,b1,s0,S0,w1
with	453482 4	stop,lo,a0,l5,b1,s0,S0,w1
small	453487 5	alpha,lo,a0,l5,b1,s0,S0,w1
woods	453493 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	453498 1	$,,*,a0,l0,b0,s0,S0,w1
copses	453500 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	453506 1	$,,*,a0,l0,b0,s0,S0,w1
or	453508 2	stop,lo,a0,l3,b1,s0,S0,w1
